ACCT_NBR,ACCT_NM,ACCT_STATUS_FLG,ACCT_TYP_CD,SHT_ACCT_NM,"CREATION_DT""",ACCT_TWN_NM,CALC_INT_CD,IGN_UNC_CD,ACCT_CNTRY_NM,BLCKG_CD,CUST_GRP,ACCT_HOLDR_RES_CD,LST_UPDATE,ACCT_CLIENT_STATUS,ACCT_CL_UNC_FND,PL_ACCT _NBR,END_DT,UKGILTS_TYP_CD,STAR_TYP_CD,STAR_ELIGBL_TYP_CD,AUTH_ACCT_ST ATUS_FLG,GLOB_PROXY_FLG,CASH_TAKER,CATEGORY,INTERNAL_FLAG,INTERNAL_TYP E,LEND_BORROW,DAYTIME_FILTER,CREDIT_RATING,SYNDICATE,CPNY_FLAG,EUREX _FLAG,ACCT_PUBL_FLG,ACCT_EXMPT_FLG
80840,CITIBANK N.A. SAFEWAY INC EM 305498,1,P,CITISIER,12/22/1994 12: 00:00 AM,NEW YORK,1,,U.S.A.,2,15086,,10/6/1999,"N"" ",N,,1/31/2000,U,,,N,N,,E,,EXTER,,,AA," """,L,N,,
80845,CITIBANK NASSAU LATIN AMERICAN OPT.,1,P,CITINOPT,12/22/1994 12: 00:00 AM,NEW YORK,1,N,U.S.A.,2,15087,,8/1/1996,N,N,,1/27/1997,U,,,N,N,,,,,,,,,L,N,,
80853,CITIBANK NASSAU-POSITIONS,1,P,CITINPOS,12/22/1994,NEW YORK,1,N,U.S.A.,2,15088,,7/17/1996,N,N,,1/27/1997,U,,,N,N,,,,,,,,,L,N,,
80858,CITIBANK NASSAU-SPECIAL,1,P,CITINSPE,12/22/1994,N EW YORK,1,N,U.S.A.,2,15089,,7/17/1996,N,N,,01 /27/1997 12:00:00 AM,U,,,N,N,,,,,,,,,L,N,,
80861,CITIBANK-LAIB (PRIMARY),1,P,CITILPRI,12/22/1994,N EW YORK,1,N,U.S.A.,2,15090,,8/20/1996,N,N,,01 /27/1997 12:00:00 AM,U,,,N,N,,,,,,,,,L,N,,
80866,CITIBANK-LAIB (CROP),1,P,CITILCRO,12/22/1994,NEW YORK,1,,U.S.A.,2,15091,,2/7/2000,N,N,,01/26/ 2001 12:00:00 AM,U,,,N,N,,E,,EXTER,,A,AA,S,L,N,""" ",
80870,BANCO TOTTA & ACORES-CLIENT ACCOUNT,0,P,BCOTOTTA,12/22/1994 12: 00:00 AM,LISBOA,1,,PORTUGAL,0,15085,,6/25/2001,"Y"" ",N,,,U,,,N,N,,E,,EXTER,,,B,S,L,N,N,Y
80875,WGZ BANK LUXEMBOURG S.A.-PLEDGE DEP,0,P,WEZBANK,12/22/1994 12:0 0:00 AM,LUXEMBOURG,1,,LUXEMBOURG,0,15485,L,06/25/2001 12:00:00 A M,N,N,,,U,,,N,N,,E,,EXTER,,,B,S,L,N,N,Y
80883,BANCO INTERNACIONAL COSTA RICA-BEV,1,P,BCOINTER,12/22/1994 12:0 0:00 AM,SAN JOSE,1,N,COSTA RICA,2,15486,,"12/20/1996 12:00:00 AM"" ",N,N,,1/27/1997,U,,,N,N,,,,,,,,,L,N,,
95244,EUROCLEAR BANK,0,E,UNPUBLIS,12/22/1994,"BRUXELLES"" ",,,BELGIUM,6,,,6/25/2001,,,,,,,,,,,E,,EXTER,,,,S,L,N,,Y
97055,EUROCLEAR BANK,0,E,UNPUBLIS,12/22/1994,"BRUXELLES"" ",,,BELGIUM,6,,,6/25/2001,,,,,,,,,,,E,,EXTER,,,,S,L,N,,Y
97531,ANTIL,0,E,ANTIL,12/22/1994,ST HELIER,,,"JERS EY, C.I.",6,,,6/25/2001,,,,,,,,,,,E,,EXTER,,,,X,L,N,,Y
45110,BNP PARIBAS SEC.SERV.-SPEZ.ABW.-,0,N,BNP7317,01/21/1999 12:00:0 0 AM,FRANKFURT,1,,GERMANY,,,D,6/25/2001,N,N,""" ",,,,,,N,,E,,EXTER,,,,X,L,N,,Y
80891,BK OF NOVA SCOTIA-SYNDICATION ACCT,0,P,BNSSYND,12/23/1994 12:00 :00 AM,LONDON,1,,UNITED KINGDOM,0,15084,,"06/25/2001 12:00:00 AM"" ",N,N,,,U,,,N,N,,E,,EXTER,,,A,S,L,N,N,Y
40058,ALLIANZ VERMOGENS-BANK AG,0,A,ALLAINZV,12/23/1994,AUGSBURG,1,,GERMANY,6,,D,6/25/2001,N,N,,,U,,,,N,,E,,EXTER,,A,,S,L,N,,Y
80896,BB SECURITIES LTD INV.MGT/CLIENT AC,1,P,BBSECIMA,12/23/1994 12: 00:00 AM,LONDON,1,,UNITED KINGDOM,2,15083,,08/21/1998 12:00:00 A M,N,N,,5/17/1999,U,,,N,N,,,,,,,,""" ",L,N,,
97505,MORGAN EUROCLEAR,1,E,UNPUBLIS,12/26/1994,BRUXELLE S,,,BELGIUM,6,,,,,,,7/3/1997,,,,,""" ",,,,,,,,,L,N,,
80900,SOCGEN-CROSBY SECURITIES PTE-CCMI,1,P,SOCGEN,12/26/1994 12:00:0 0 AM,SINGAPORE,1,,SINGAPORE,2,15132,,12/26/1997,"N"" ",N,,1/26/1998,U,,,N,N,,,,,,,,,L,N,,
80905,CITIBANK N.A.-FAO PHILAM PLANS INC,1,P,CITIFAOP,12/26/1994 12:0 0:00 AM,MAKATI,1,N,PHILIPPINES,2,15133,,9/7/1995,N,N,,1/29/1996,,,,,,,,,,,,,,L,N,,
80913,CAISSE NAT.CRED.AGRI.-NOMURA REPO,1,P,CNCAREPO,12/26/1994 12:00 :00 AM,LONDON,4,,UNITED KINGDOM,2,15539,,"09/23/1998 12:00:00 AM"" ",N,N,,5/17/1999,U,,,N,N,,,,,,,,,"

L",N,,
93576,EUROCLEAR BANK,0,E,UNPUBLIS,12/26/1994,"BRUXELLES"" ",,,BELGIUM,6,,,6/25/2001,,,,,,,,,,,E,,EXTER,,,,S,L,N,,Y
96621,MORGAN EUROCLEAR,1,E,UNPUBLIS,11/30/1994,BRUXELLE S,,,BELGIUM,6,,,,,,,3/5/1996,,,,,""" ",,,,,,,,,L,N,,
U2827,INVESTORS FIDUCIARY TRUST COMPANY,0,N,IFTCKCMO,12/01/1994 12:00 :00 AM,KANSAS CITY MO,,,U.S.A.,,,,6/25/2001,,," """,,,,,,,,E,,EXTER,,,,S,L,N,,Y
56248,BANQUE DE GESTION FINANCIERE,0,P,BQGESFIN,10/31/1994 12:00:00 A M,ZURICH,1,,SWITZERLAND,6,E000004032,,6/25/2001,N,N,,,U,,,N,N,,E,,EXTER,,A,G,S,L,N,,Y
96025,MORGAN EUROCLEAR,1,E,UNPUBLIS,12/1/1994,BRUXELLE S,,,BELGIUM,6,,,9/15/1997,,,,05/15/1998 12:00 :00 AM,,,,,,,,,,,,,,L,N,,
97035,MORGAN EUROCLEAR,1,E,UNPUBLIS,12/1/1994,BRUXELLE S,,,BELGIUM,6,,,,,,,2/27/1996,,,,,""" ",,,,,,,,,L,N,,
80599,BCO TOTTA&ACORES SA-MADEIRA OFFS.BR,0,P,BCOTOTTA,12/02/1994 12: 00:00 AM,MADEIRA,1,,PORTUGAL,2,15428,,6/25/2001,N,N,,,U,,,N,N,,E,,EXTER,,,B,S,L,N,N,Y
80608,FORTIS BANQUE FRANCE SA,0,P,FORTISBQ,12/2/1994,P ARIS,1,,FRANCE,0,14942,F,6/25/2001,N,N,,,"U"" ",,,N,N,,E,,EXTER,,,C,S,L,N,,Y
80611,CHASE MANHATTAN BANK AG-SYNDICATION,0,P,CHASSYND,12/02/1994 12: 00:00 AM,FRANKFURT,1,,GERMANY,0,14938,D,6/25/2001,N,N,,,U,,,N,N,51080,E,,EXTER,,,A,S,L,N,"N"" ",Y
96980,MORGAN EUROCLEAR,1,E,UNPUBLIS,12/5/1994,BRUXELLE S,,,BELGIUM,6,,,9/15/1997,,,,05/14/1999 12:00 :00 AM,,,,,,,,,,,,,,L,N,,
80616,BANQUE NATIONALE DE PARIS-SEOUL BR.,0,P,BNPSEOUL,12/05/1994 12: 00:00 AM,SEOUL,1,,"KOREA, REPUBLIC OF",6,15116,,08/21/2001 12:00:0 0 AM,N,N,,,U,,,N,N,,E,,EXTER,,A,B,S,L,N,,Y
96254,EUROCLEAR BANK,0,E,UNPUBLIS,12/5/1994,"BRUXELLES"" ",,,BELGIUM,6,,,6/25/2001,,,,,,,,,,,E,,EXTER,,,,S,L,N,,Y
96788,MORGAN EUROCLEAR,1,E,UNPUBLIS,12/5/1994,BRUXELLE S,,,BELGIUM,6,,,,,,,10/11/1996,,,,,""" ",,,,,,,,,L,N,,
97113,MORGAN EUROCLEAR,1,E,UNPUBLIS,12/5/1994,BRUXELLE S,,,BELGIUM,6,,,6/11/1999,,,,07/19/1999 12:00 :00 AM,,,,,,,E,,EXTER,,,,,L,N,,
97119,MORGAN EUROCLEAR,1,E,UNPUBLIS,11/28/1995,BRUXELLE S,,,BELGIUM,6,,,6/11/1999,,,,07/19/1999 12:00 :00 AM,,,,,,,E,,EXTER,,,,,L,N,,
80624,BANCARACAS INTL.BKING CORP.-S.A.C.A,0,P,BANCARSA,12/06/1994 12: 00:00 AM,SAN JUAN,1,,PUERTO RICO,5,14922,,8/31/2001,N,N,,,U,,,N,N,,E,,EXTER,,A,K,S,L,N,N,Y
80629,BANCARACAS INTERNATIONAL BKING.CORP,0,P,BANCARAC,12/06/1994 12: 00:00 AM,SAN JUAN,1,,PUERTO RICO,0,14923,,6/25/2001,N,N,,,U,,,N,N,,E,,EXTER,,A,K,S,L,N,N,Y
80632,OVERSEAS UNION BANK LTD-SYNDIC.ACCT,0,P,OVERSEAS,12/06/1994 12: 00:00 AM,SINGAPORE,1,,SINGAPORE,6,14924,,"06/25/2001 12:00:00 AM"" ",N,N,,,U,,,N,N,,E,,EXTER,,,B,S,L,N,N,Y
95260,EUROCLEAR BANK,0,E,UNPUBLIS,12/6/1994,BRUXELLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96832,MORGAN EUROCLEAR,1,E,UNPUBLIS,12/6/1994,BRUXELLE S,,,BELGIUM,6,,,,,,,9/2/1996,,,,,""" ",,,,,,,,,L,N,,
96850,MORGAN EUROCLEAR,1,E,UNPUBLIS,12/6/1994,BRUXELLE S,,,BELGIUM,6,,,,,,,12/19/1995,,,,,""" ",,,,,,,,,L,N,,
80637,BORGONUOVO SIM SPA-CLIENT ACCOUNT,1,P,BORGONUO,12/07/1994 12:00 :00 AM,MILANO,1,,ITALY,2,15113,,9/24/1997,N,N," """,1/26/1998,U,,,N,N,,,,,,,,,L,N,""" ",
80670,MITSUBISHI BANK LTD SUB ACCOUNT,1,P,MITSUBAC,12/07/1994 12:00:0 0 AM,LONDON,1,N,UNITED KINGDOM,2,14945,,10/17/1995,N,N,,1/29/1996,,,,,,,,,,,,,,L,N,,
32667,CITIBANK N.A. S/A 4,0,P,CITIS/A4,10/31/1994,LONDO N,1,,UNITED KINGDOM,0,E000003426,,6/25/2001,N,N," """,,U,,,N,N,,E,,EXTER,,,AA,S,L,N,N,Y
72961,HENRY COOKE LUMSDEN SETTLEMENT ACC.,1,P,HCLUMSET,10/31/1994 12: 00:00 AM,MANCHESTER,1,N,UNITED KINGDOM,2,E000005303,,4/5/1996,N,N,,1/27/1997,U,,,N,N,,,,,,,,,L,N,,
80551,BANCO DE ORO UNIVERSAL BANK,0,P,BCOROCBK,11/23/1994,QUEZON CITY,1,,PHILIPPINES,0,15427,,6/25/2001,"N"" ",N,,,U,,,N,N,,E,,EXTER,,,I,S,L,N,N,Y
13200,SICOVAM,0,P,SICOVAM,10/31/1994,PARIS,1,,FRA NCE,2,E000000162,F,6/25/2001,N,Y,,,U,,,N,N,,E,,EXTER,,A,A,S,L,N,N,Y
54963,CENTRAL HISPANO BENELUX SA/NV,1,P,HISPABNL,10/31/1994,BRUXELLES,1,N,BELGIQUE,2,E000003276,B,"12/27/1994 12:00:00 AM"" ",N,N,,1/30/1995,,,,,,,,,,,,,,L,N,,
70734,BANK OF OVERSEAS CHINESE,0,P,BOVERS,10/31/1994,TA IPEI,1,,TAIWAN,0,E000004920,,6/25/2001,N,N,,""" ",U,,,N,N,,E,,EXTER,,,H,S,L,N,N,Y
71697,INTERCASSA TITOLI TERZI CLIENT ACC.,1,P,INTERCAS,10/31/1994 12: 00:00 AM,MILANO,1,,ITALY,2,E000005095,,12/7/1998,Y,N,,5/17/1999,U,,,N,N,,,,,,,,,"L"" ",N,,
96356,EUROCLEAR BANK,0,E,UNPUBLIS,11/24/1994,"BRUXELLES"" ",,,BELGIUM,6,,,6/25/2001,,,,,,,,,,,E,,EXTER,,,,S,L,N,,Y
96379,MORGAN EUROCLEAR,1,E,UNPUBLIS,11/24/1994,BRUXELLE S,,,BELGIUM,6,,,2/7/2000,,,,09/29/2000 12:00 :00 AM,,,,,,,E,,EXTER,,,,S,L,N,,
96501,EUROCLEAR BANK,0,E,UNPUBLIS,11/24/1994,"BRUXELLES"" ",,,BELGIUM,6,,,6/25/2001,,,,,,,,,,,E,,EXTER,,,,S,L,N,,Y
96782,BCO ESP SANTO COML,1,E,BCOESCSP,11/24/1994,MADRID,,,SPAIN,6,,,9/15/1997,,,,8/28/1998,,,,,,,,,,,,,,L,N,,
29399,DEXIA BANK SA/POSITIONS PORTEFEUIL.,0,P,DEXIAPOR,10/31/1994 12: 00:00 AM,BRUXELLES,1,,BELGIUM,0,E000002977,B,6/25/2001,N,N,,,U,,,N,N,71838,E,,EXTER,6,A,A,S,L,N,N,Y
35467,BAYERISCHE LANDESBANK (SCHWEIZ) AG,0,P,BAYSCHWZ,10/31/1994 12:0 0:00 AM,ZURICH,1,,SWITZERLAND,0,E000001460,,6/25/2001,N,N,,,U,,,N,N,,E,,EXTER,,A,AA,S,L,N,""" ",Y
80560,"S.G.WARBURG & CO.LTD,LUXEMBOURG BR.",1,P,SGWARBUR,11/25/1994 12: 00:00 AM,LUXEMBOURG,1,,LUXEMBOURG,2,14897,L,1/20/1999,N,N,,5/17/1999,U,,,N,N,,,,,,,,,L,N,,
K1234,TEST FCO,1,N,TEST,11/25/1994,A,,,"NEDERLAND"" ",,,,,,,,11/28/1994,,,,,,,,,,,," """,,L,N,,
K2345,TEST FCO 2,1,N,TEST2,11/25/1994,A,1,N,NEDER LAND,,,G,,N,N,,11/28/1994,,,,,,,,,,,,,,L,N,,
96306,EUROCLEAR BANK,0,E,UNPUBLIS,11/28/1994,"BRUXELLES"" ",,,BELGIUM,6,,,6/25/2001,,,,,,,,,,,E,,EXTER,,,,S,L,N,,Y
58050,BQUE GENERALE DU LUX DEPOT SPECIAL,0,P,BQUEGENE,10/31/1994 12:0 0:00 AM,LUXEMBOURG,1,,LUXEMBOURG,0,E000004619,L,06/25/2001 12:00 :00 AM,N,N,,,U,,,N,N,11193,E,,EXTER,6,A,B,S,L,N,N,Y
96529,MORGAN EUROCLEAR,1,E,UNPUBLIS,11/28/1994,BRUXELLE S,,,BELGIUM,6,,,,,,,8/25/1997,,,,,""" ",,,,,,,,,L,N,,
21712,B.I.L.-MULTISCOR CHARLEMAGNE,1,P,BILMUCA,10/31/1994 12:00:00 A M,LUXEMBOURG,1,,LUXEMBOURG,2,E000001981,L,6/17/1998,N,N,,5/17/1999,U,,,N,N,,,,,,,,,L,N,,
